Common Name (Scientific Name),Genus,Species,Family,1,1 (Merlin),2,2 (Merlin),3,3 (Merlin),4,4 (Merlin),5,5 (Merlin),6,6 (Merlin),7,7 (Merlin),8,8 (Merlin),9,9 (Merlin),10,10 (Merlin),11,11 (Merlin),12,12 (Merlin),13,13 (Merlin),14,14 (Merlin),15,15 (Merlin),16,16 (Merlin),17,17 (Merlin),present,Notes,# stops,total,
Northern Cardinal (Cardinalis cardinalis) ,Cardinalis,cardinalis,Cardinalidae,1,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,p,,3,,
Northern Flicker (Colaptes auratus),Colaptes,auratus,Picidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Harrier (Circus cyaneus),Circus,cyaneus,Accipitridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Parula (Parula americana),Parula,americana,Parulidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Rough-winged Swallow (Stelgidopteryx serripennis),Stelgidopteryx,serripennis,Hirundinidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Waterthrush (Seirus noveboracensis),Seirus,noveboracensis,Parulidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive-sided Flycatcher (Contopus cooperi),Contopus,cooperi,Tyrannidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange-crowned Warbler (Vermivora celata),Vermivora,celata,Parulidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orchard oriole (Icterus spurius),Icterus,spurius,Icteridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osprey (Pandion haliaetus),Pandion,haliaetus,Pandionidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ovenbird (Seirus aurocapillus) ,Seirus,aurocapillus,Parulidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palm Warbler (Dendroica palmarum),Dendroica,palmarum,Parulidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peregrine Falcon (Falco peregrinus),Falco,peregrinus,Falconidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia Vireo (Vireo philadelphicus),Vireo,philadelphicus,Vireonidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pileated Woodpecker (Dryocopus pileatus) ,Dryocopus,pileatus,Picidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple Finch (Haemorhous mexicanus),,,,,,,,,,,,1,,,,1,p,,,,,,,,,,,,,,,,,,,,,p,,2,,
Red-bellied Woodpecker (Melanerpes carolinus),Melanerpes,carolinus,Picidae,,,,,,,,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,p,,1,,
Red-eyed Vireo (Vireo olivaceus) ,Vireo,olivaceus,Vireonidae,,,,,,,1,,,,,,,,3,p,,,1,p,,,,,1,p,,,1,p,,,1,p,p,,6,,
Red-headed Woodpecker (Melanerpes erythrocephalus) ,Melanerpes,erythrocephalus,Picidae,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,1,,
Red-Tailed Hawk (Buteo jamaicensis),Buteo,jamaicensis,Accipitridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-winged Blackbird (Agelaius tricolor) ,Agelaius,tricolor,Icteridae,,,,,,,1,p,,,1,,1,p,1,,1,,,,,,,,,,,,,,,,,,p,,5,,
Ring-billed Gull (Larus delawarensis),Larus,delawarensis,Laridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ring-necked Pheasant (Phasianus colchicus),Phasianus,colchicus,Phasianidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock Pigeon (Columba livia),Columba,livia,Columbidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rose-breasted Grosbeak (Pheucticus ludovicianus) ,Pheucticus,ludovicianus,Cardinalidae,,,,,,,,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,p,,1,,
Ruby-crowned Kinglet (Regulus calendula),Regulus,calendula,Regulidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruby-Throated Hummingbird (Archilocus colubris),Archilocus,colubris,Trochilidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandhill Crane (Grus canadensis),Antigone,canadensis,Gruidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savannah Sparrow (Passerculus sandwichensis),Passerculus,sandwichensis,Emberizidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarlet Tanager (Piranga olivacea) ,Piranga,olivacea,Cardinalidae,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,p,p,,2,,
Sedge Wren (Cistothorus platensis),Cistothorus,platensis,Troglodytidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solitary Sandpiper (Tringa solitaria),Tringa,solitaria,Scolopacidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song Sparrow (Melospiza melodia) ,Melospiza,melodia,Emberizidae,2,,,,,,,p,1,,,,,,,,,,,,,,1,,,,,,,,,,,,p,,3,,
Sora (Porzana carolina),Porzana,carolina,Rallidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,1,,
Spotted Sandpiper (Actitis macularia),Actitis,macularia,Scolopacidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,1,,
Swainson’s Thrush (Catharus ustulatus) ,Catharus,ustulatus,Turdidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swamp Sparrow (Melospiza georgiana),Melospiza,georgiana,Emberizidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennesee Warbler (Vermivora peregrina) ,Vermivora,peregrina,Parulidae,,,1,,,,,,,,,,,,1,p,,,1,p,,,,,,,,,1,p,,,,,p,,4,,
