Common Name (Scientific Name),Genus,Species,Family,MOU,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,# stops,total,present,,,,,,,,,,,,,,,,,
Song Sparrow (Melospiza melodia) ,Melospiza,melodia,Emberizidae,98,,1,2,2,3,2,,1,2,,,,,,1,2,2,10,18,,,,,,,,,,,,,,,,,,
Sora (Porzana carolina),Porzana,carolina,Rallidae,12,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Spotted Sandpiper (Actitis macularia),Actitis,macularia,Scolopacidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Swainson’s Thrush (Catharus ustulatus) ,Catharus,ustulatus,Turdidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Swamp Sparrow (Melospiza georgiana),Melospiza,georgiana,Emberizidae,99,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Tennesee Warbler (Vermivora peregrina) ,Vermivora,peregrina,Parulidae,68,,1,1,,,,,,,,3,2,10,2,,,1,7,20,,,,,,,,,,,,,,,,,,
Tree Swallow (Tachycineta bicolor) ,Tachycineta,bicolor,Hirundinidae,46,,,1,1,2,3,,,,,,,,,,,,4,7,,,,,,,,,,,,,,,,,,
Tufted Titmouse (Baeolophus bicolor),Baeolophus,bicolor,Paridae,51,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Turkey Vulture (Cathartes aura),Cathartes,aura,Cathartidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Veery (Catharus fuscescens) ,Catharus,fuscescens,Turdidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Vesper Sparrow (Pooecetes gramineus),Pooecetes,gramineus,Emberizidae,95,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Warbling Vireo (Vireo gilvus) ,Vireo,gilvus,Vireonidae,41,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
White-breasted Nuthatch (Sitta carolinensis) ,Sitta,carolinensis,Sittidae,52,,,,,,,,,,,,1,1,1,,,,3,3,,,,,,,,,,,,,,,,,,
White-Crowned Sparrow (Zonotrichia leucophrys),Zonotrichia,leucophrys,Emberizidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
White-throated Sparrow (Zonotrichia albicollis),Zonotrichia,albicollis,Emberizidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Wild Turkey (Meleagris gallopavo),Meleagris,gallopavo,Phasianidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
Willow Flycatcher (Empidonax traillii),Empidonax,traillii,Tyrannidae,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
